sector,link,Ministry/Organization Name,id
"Finance, Banking & Insurance",https://crcl.gov.in,"Central Revenues Control Laboratory, CBEC",68
"Finance, Banking & Insurance",https://ctax.jharkhand.gov.in,"Department of Commercial Taxes, Jharkhand",69
"Finance, Banking & Insurance",https://khajane.karnataka.gov.in,"Department of Treasuries, Karnataka",70
"Finance, Banking & Insurance",https://tin.tin.nsdl.com/oltas,"OLTAS - Challan Status Inquiry, Income Tax Department",72
"Finance, Banking & Insurance",https://meggst.gov.in,"Taxation Department, Meghalaya",73
"Finance, Banking & Insurance",https://gepg.nic.in,Government of India e-Payment Gateway (GePG),74
"Finance, Banking & Insurance",https://cgstappealsjaipur.gov.in,"Office of The Commissioner (Appeals), CGST, Jaipur",75
"Finance, Banking & Insurance",https://nacin.gov.in,"National Academy of Customs, Indirect Taxes and Narcotics (NACIN), Faridabad",76
"Finance, Banking & Insurance",https://delhitradetax.delhi.gov.in,"Trade and Taxes Department, Delhi",77
"Finance, Banking & Insurance",https://www.ajnifm.ac.in,Arun Jaitley National Institute of Financial Management,78
"Finance, Banking & Insurance",https://orientalinsurance.org.in,Oriental Insurance Company Limited (OICL),79
"Finance, Banking & Insurance",https://cgstap.gov.in,"Chief Commissioner of Central GST and Customs, Visakhapatnam Zone",80
"Finance, Banking & Insurance",https://cestat.gov.in,Customs Excise and Service Tax Appellate Tribunal (CESTAT),81
"Finance, Banking & Insurance",https://dbt.bih.nic.in,"Direct Benefit Transfer (DBT), Bihar",82
"Finance, Banking & Insurance",https://www.jkdfc.org,Jammu and Kashmir Development Finance Corporation (JKDFC),83
"Finance, Banking & Insurance",https://www.protean-tinpan.com,Tax Information Network (TIN),84
"Finance, Banking & Insurance",https://www.indiagovtmint.in,Security Printing & Minting Corporation of India Ltd.,85
"Finance, Banking & Insurance",https://cenexgstvizag1.gov.in,"Central Excise, Customs and Service Tax Commissionerate, Visakhapatnam  I",86
"Finance, Banking & Insurance",https://finance.jharkhand.gov.in,"Finance Department, Jharkhand",87
