sector,organization_link,result_count,link,text,has_robots_txt
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://jkfcr.nic.in,"Financial Commissioner Revenue, Jammu and Kashmir",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://finance.jharkhand.gov.in/jegras,"e-GRAS Online Government Receipts Accounting System, Jharkhand",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://igod.gov.in/contribute,Contribute,False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://bharatkosh.gov.in,"Non-Tax Receipt Portal (NTRP), Controller General of Accounts",True
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://tender.apeprocurement.gov.in,"ap-eProcurement, eGP Portal - Tenders, Andhra Pradesh",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.tnhorticulture.tn.gov.in,"Horticulture and Plantation Crops Department, Tamil Nadu",True
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,javascript:void(0);,Share on Facebook,False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.nedfi.com,"North Eastern Development Finance Corporation (NEDFI), Guwahati",True
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://gujecostat.gujarat.gov.in,"Directorate of Economics and Statistics, Gujarat",True
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://comtax.cg.nic.in,"Commercial Tax and Excise Department Department, Chhattisgarh",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://data.gov.in/,,True
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://etenders.hry.nic.in,"eProcurement System, Haryana",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://finance.delhi.gov.in,"Finance Department, Delhi",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://amritsarcustoms.gov.in,"Customs Commissionerate Preventive, Amritsar",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://gstdelhizone.gov.in/south/index-south.php,"Goods and Services Tax Commissionerate (GST), Delhi South",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://msrtc.maharashtra.gov.in,"Maharashtra State Road Transport Corporation, Maharashtra",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.lichousing.com,LIC Housing Finance Limited,True
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.incometax.gov.in/iec/foportal,Income Tax e - Filing,True
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://gstmumbai.gov.in,"Goods and Service Tax and Central Excise Commissionerate (GST), Mumbai Zone",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://giftgujarat.in,"Gujarat International Finance Tec-City Company Limited (GIFT), Gujarat",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://manipurvat.gov.in,"Taxes Department, Manipur",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://nhfdc.nic.in,National Handicapped Finance and Development Corporation (NHFDC),False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://dbt.lsgkerala.gov.in,"SevanaPension Direct To Home Module, Kerala",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://lad.hp.gov.in,"Himachal Pradesh State Audit Department, Himachal Pradesh",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://paogref.nic.in,"Pay Accounts Office (GREF-Dighi Camp), Pune",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.pfrda.org.in,Pension Fund Regulatory and Development Authority (PFRDA),False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://ppptg.cgg.gov.in,"Public Private Partnerships (PPP), Telangana, Andhra Pradesh",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://igod.gov.in/about_us,About Us,False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://goaf.gov.in,Chief Controller of Factories,False
