sector,organization_link,result_count,link,text
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://jkfcr.nic.in,"Financial Commissioner Revenue, Jammu and Kashmir"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://finance.jharkhand.gov.in/jegras,"e-GRAS Online Government Receipts Accounting System, Jharkhand"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://igod.gov.in/contribute,Contribute
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://bharatkosh.gov.in,"Non-Tax Receipt Portal (NTRP), Controller General of Accounts"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://tender.apeprocurement.gov.in,"ap-eProcurement, eGP Portal - Tenders, Andhra Pradesh"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.tnhorticulture.tn.gov.in,"Horticulture and Plantation Crops Department, Tamil Nadu"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,javascript:void(0);,Share on Facebook
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.nedfi.com,"North Eastern Development Finance Corporation (NEDFI), Guwahati"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://gujecostat.gujarat.gov.in,"Directorate of Economics and Statistics, Gujarat"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://comtax.cg.nic.in,"Commercial Tax and Excise Department Department, Chhattisgarh"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://data.gov.in/,
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://etenders.hry.nic.in,"eProcurement System, Haryana"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://finance.delhi.gov.in,"Finance Department, Delhi"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://amritsarcustoms.gov.in,"Customs Commissionerate Preventive, Amritsar"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://gstdelhizone.gov.in/south/index-south.php,"Goods and Services Tax Commissionerate (GST), Delhi South"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://msrtc.maharashtra.gov.in,"Maharashtra State Road Transport Corporation, Maharashtra"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.lichousing.com,LIC Housing Finance Limited
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.incometax.gov.in/iec/foportal,Income Tax e - Filing
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://gstmumbai.gov.in,"Goods and Service Tax and Central Excise Commissionerate (GST), Mumbai Zone"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://giftgujarat.in,"Gujarat International Finance Tec-City Company Limited (GIFT), Gujarat"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://manipurvat.gov.in,"Taxes Department, Manipur"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://nhfdc.nic.in,National Handicapped Finance and Development Corporation (NHFDC)
